gvi_engDescr_133,gvi_engDescr_118,gvi_engDescr_128,gvi_engDescr_129,gvi_engDescr_122,gvi_engDescr_123,gvi_engDescr_120,gvi_engDescr_121,gvi_engDescr_126,gvi_engDescr_127,gvi_engDescr_124,gvi_engDescr_125,gvi_engDescr_117,gvi_engDescr_116,gvi_engDescr_115,gvi_engDescr_114,gvi_engDescr_113,gvi_engDescr_112,gvi_engDescr_131,gvi_engDescr_130,gvi_engDescr_119,gvi_engDescr_132
interior cutout,portion missing within shape,solid black,whole,whole shape,complete hole shape,hole middle shape,whole shape,hole shape,hole,hole middle,space middle,hole shape,hole middle shape,hole,hole middle shape,empty space shape,hole,color,hole middle,hole shape,space middle
circle outside inside,dot located outside borders,dot inside line,dot outside,dot outside figure,dot outside shape,dot inside shape like others,dot outside shape,dot outside shape,dot outside shape,dot outside,dot outside shape,dot outside shape,dot outside figure,position dot,black dot contained within shape,dot outside shape,dot outside curve,position,dot outside shape,dot outside shape,dot outside shape
enclosed shape,shape closed,shape closed,complete,opening shape,lines connected shape,shape complete,form closed shape,lines connect,closed,incomplete,line shape,line connect,incomplete figure,disconnected,shape completely closed opening,perimeter connect,curve,whole shape,continuous,shape complete,openended shape
two shapes one,two shapes one,2 shapes 1,two,two figures one,two shapes instead one,two shapes rather one,two shapes,two shapes one,two pieces 1,two parts,two shapes,two shapes instead one,two shapes one,disconnected,two shapes,two shapes,two parts,separated,two shapes one,2 shapes,two different shapes
circle line,dot placed line,dot line,along line,dot line,dot line,dot line,dot line,dot line,dot line,dot,dot line,dot line,dot line,position dot,black dot line,black dot attached line,dot line,point line,dot line,dot line,dot line
straight line,line curved,straight line instead curved,straight,line straight curved,line straight curved,straight line,straight line,straight line others curved,straight bent,different shape line,line straight,straight bent,straight line,noncurved,straight line instead curved,straight line,straight line,straight,straight curvy,straight line,straight line
inward curve unlike others,part shapes border curving inward,c shape rather solid shape,gap,crescent shape,shape concave side,curved different,bent shape,concave feature,indent,incomplete,side curving inside,hollow outside,curved,shape,oblong weird shape,dent shape,shape little weird,shape,shape curves convex,indented shape,less cohesive shape
curved line,line curved straight,curved line,curve,curved line straight,line straight,curved,curved line,line curved others,bent line,curved shape,curve line,bent straight,curved,curved,curved line,curved line,curve,straight line,curvy straight,curved line,curved line
circle perfectly aligned line,dot unaligned line,dot centered line,line left,dot line line,circle line segment,dot straight,dot unparalleled line,dot end line,dot line aligned,dot straight line,dot line,dot away line,dot line,position dot,black dot end line,dot lined end line,dot top line,position spot,dot line line,dot parallel,dot side line
triangle foursided,three borders,triangle quadrilateral,triangle,triangle quadrilateral,triangular quadrangular,triangle,three sides,triangle quadrilateral,three sides,four sides,three sides triangle,triangle instead square,triangle 4 sides,number angles,triangle instead trapezoid square,quadrilateral,triangle,shape,triangle,triangle,three sides
contains two acute angles unlike others,angle obtuse,right triangle,narrowest,obtuse angle,severe angle,shape seems flatter rest,right angel,triangle thin,different angle size,different type triangle,obtuse triangle,without 90 angle,2 really acute angles,angle,longer skinnier triangle,right triangle,angle large,angle,right triangle,widest angle,right angle
contain right angles,lines perpendicular,angle lines,narrowest intersection,smaller angles formed,perpendicular,cross flattened,intersection right angels,perpendicular,perpendicular,spacing crosses smaller,right angle,without 90 angle,90 degree angles,angle,looks laying flat plane look like x,lines cross right angles,angle different,angle,lines perpendicular,uneven angles,right angle created
contain right angles,lines perpendicular,different angle small line,tilted,smaller line 90 degree angle,perpendicular instead,make shape,two lines dont form right angel,perpendicular,different angles formed,line sticking diagonal,right angle,without 90 angle,90 degree angle,tilted,flat plane like road intersection clean angles,center line bisect longer line right angle,perpendicular,angle,perpendicular,perpendicular,right angle created
dot farther line,dot away line,location dot,dot furthest away line,dot far line,dot line,dot line,dot far away line,dot far line others,dot line,dot far away line,distance dot line bigger,dot far away line,dot away figure,dot position,black dot much farther away line,dot far away line,distance dot line,distance,dot farthest line,dot father away,dot distance line
dot center circle,dot center circle,white dot centered,dot center,white dot center,dot center circle,dot centered,dot center,dot center others,dot centered,larger size,white dot center circle,dot center,dot centered,dot position,black circle much bigger white dot centered,white dot center circle,dot center,position spot,white dot centered,dot center,dot center
circle center line,dot mark center line,dot centered,dot left side,dot centered,circle center line,dot center,dot middle line,dot center line,dot centered,dot far,dot middle point,dot away line center,dot centered,position dot,black dot towards one end,dot bisect line,dot center,position point,dot center,dot middle line,dot middle
nonequilateral triangle,sides length,equilateral triangle,dot left,equilateral triangle,sides length,skinnier others,right triangle,equilateral,different kind triangle,thick,triangle three equal sides,sharp triangle,triangles equal sides,shape,skinnier triangle longer body,equilateral triangle,shape different,shape,equilateral triangle,different orientation,taller height
longest line,dot placed left,location dotfurther left,left dot,dot farthest toward end line,dot closer line end proportion length,line much longer,dot far away center line,distance edge shorter,different dot placement,dot far,distance sides different,dot two far away center,dot closer end line,position dot,black dot closer edge,dot closer end line,ratio dot line,position spot,dot farthest left,dot closer edge line,dot farther left others
trapezoid rhombus,dot shorter base trapezoid,shape,tilted,dot one side,shape perfect trapezoid,different shape,looks weird,dot close larger base,square,dot left side,point middle,dot far away short line,parallels,position,white dot centered,shape sharper angles,weird,position,square,rectangle,dot placement
rectangle square,rectangle square,rectangle square,trapezoid,rectangle square,rectangular square,rectangle rather square like rest,square,rectangle square,different rotation,different shape,square,square,rectangle rather square,nonsquare,rectangle shape,rectangle square,square,shape,rectangle,diamond,square
rhombus rectangle,rectangle,shape angle different,five side,rectangle,rectangle parallelogram,square angled,angels right angels,rectangle,parallelogram,rectangle,rectangular,square,90 degree angles,shape,rhombus shape angled sides,perimeter sharper angles,symmetric shape,shape,trapezoid,trapezoid,diamond shape
trapezoid rhombus,parallelogram,parallelogram,mirror reflection,different shape,parallelogram,trapezoid shape,pairs sides parallel,trapezoid parallelogram,trapezoid,sets sides dont equal one another,parallelogram,two lines parallel,trapezoid,shape,trapezoid,trapezoid instead parallelogram,trapezoid,shape,asymmetrical folded would match,shapes flipped,longer one side
trapezoid rhombus,set parallel borders,parallelogram,shape,mirror image,least parallel,rectangular,pairs sides arent parallel,bent,reflection line,equal sides,pair lines parallel,regular shape,shapes resemble trapezoid,angle,diamond type shape,bases 1 2 trapezoid parallel,weird,shape,asymmetrical,symmetrical,wider one side
set nonmirror images,shapes mirror flipped,rotation triangle,mirror reflection,stacked,mirror images,others tilted toward one,mirrored,symmetrical flip,symmetrical,different size,symmetric,parallel instead reflection,shapes symmetrical line,asymmetric,triangles facing,triangles parallel mirror image,symmetric,symmetrical,asymmetrical,symmetrical,symmetrical
asymmetrical unlike others,asymmetrical,less symmetrical,mirror reflected,alignment,line reflection,stretched longitudinally,unbalanced shape,symmetrical,symmetrical,symmetrical,symmetric,reflection parallel,shapes symmetrical line went,shape,jagged wild shape,pattern shapesshapes offset lined middle,symmetric,shape,asymetrical,symmetrical,symmetrical
asymmetrical unlike others,asymmetrical,less symmetrical,opposite,go together like puzzle,easy line reflection,scrunched together,balanced,symmetrical,symmetrical,symmetrical flipped,symmetric,reflection instead parallel,shapes would symmetrical cut middle,shape,jagged shape random juts instead following patter,made shapesshapes center,symmetric,shape,triangles lined,rotated shapes,symmetrical
asymmetrical unlike others,asymmetrical,less symmetrical,parallel,mirror image,easy line reflection easily mirrored,stretched points,shape unbalanced,symmetric,different directions,odd looking,symmetric,reflection parallel,shapes would symmetrical folded line,shape,jagged clean pattern,made shapesshapes center,symmetric,shape,points triangles facing direction,orientation,symmetrical
triangles face opposite directions,shapes oriented different direction,direction pointing,small big,mirror image,triangles facing direction,points facing,direction,one shape flipped,dot sides,set others,two similar shapes,reflection parallel,facing direction,symmetric,points triangle facing different ways,triangle parallel,different orientation,direction,asymmetrical,shapes mirror,alignment shape
circle parallel lines,dot two parallel borders,triangles pointing direction,parallel,alignment shapes different,flat side second triangle facing dot,point triangle toward dot,shapes opposite directions,dot aligned point side,reflection line,oddly spaced,two triangles direction,parallel reflection,others flipped dot,asymmetric,points going way longest flat side facing,triangle sides parallel,different orientation,direction triangle,asymmetrical,wrong orientation rotation,shapes parallel
triangles facing upward,shapes mirrorflipped,angle triangles,opposite,nonparallel set lines,shapes reflected,angled different,mirrored,symmetrical flip line,reflection line,point straight,symmetric,parallel reflection,symmetrical line,asymmetric,triangles facing way instead points facing,triangles parallel instead mirror image,symmetrical,symmetric,triangles facing eachother side side,shapes flipped,symmetric
set mirror image,turned outward inward,different shape,different direction,proportion different others,shapes pointing direction,triangles placed differently,similar shapes different angles line,shape symmetrical line,shapes facing different directions,know wrong,two triangles towards point,reflection parallel,shapes face towards dot,asymmetric,triangles facing different ways line,triangles face opposite directions,different orientation,direction,parallel,flipped shapes,tips alligned line
set mirror image,shapes mirror flipped,rotation triangle,one dot distant others,lines parallel others,shapes reflected,flat part toward inside,reflect shape,symmetrical flip,lines parallel,tilted normal others,symmetric,parallel reflection,shapes flipped line,asymmetric,triangles facing,triangles parallel mirror image,symmetric,symmetric,parallel,lines parallel,symmetrical
triangles oriented parallel lines,two shapes oriented direction,different placement 2 triangles,mirror reflection,facing direction,triangles different orientation,points facing,shapes direction,one triangle flipped,rotation reflection,placed others,similar shapes,reflection parallel,smaller facing different direction ones,asymmetric,points pointing pointing way,triangles parallel,different orientation,direction,dot opposite side,flipped shape,facing different directions
parallel like others,lines parallel,lines parallel,two two,spaces dots different,lines parallel,parellel,lines parallel,lines symmetrical,lines parallel,parallel,parallel,random parallel,parallel,nonparallel,perpendicular lines eventually meet kept going,lines parallel,parallel,parallel,lines left side vertical line,little triangle small,parallel lines
incorrect,circle right side line pointing clockwise counterclockwise,rotation shape,,spacing dots different,facing direction reflected image rotated,mirror image others,black circle right side line,circle right side line,flipped opposite direction,different way faced,clockwise direction,dot pointing right left,shapes look curved,shape,one facing right,circle opposite side black line,line left side circle,position round pot,dots equally spaced,parallel lines,blob facing different direction
largest difference size,smaller shape decreased even proportion,different placement triangles,,,shapes greater change size,big difference shape triangles,size different greatly,triangle small,different direction,flow well,difference bigger,size difference obvious,smaller triangle lot smaller ex,size,little triangle much smaller big triangle,large size difference triangles,ratio two triangles,shape,lines right side line left,flipped shape,size variation
set parallel lines,lines parallel,parallel slanted lines,,,lines parallel angled,parallel lines,parallel lines,lines parallel,different spacing,parallel,parallel lines,parallel random,set parallel lines,parallel,parallel lines,parallel lines,parallel,parallel,dots pairs 3 close one far,image flipped,parallel lines
circle faces left instead right,pointing counterclockwise clockwise,circle facing left,,,reflected image,mirror direction,circle left side,circle left line,flipped,facing different way,dot left,dot pointing left,facing different direction,shape,big black circle facing left,black circle opposite side line,line right side circle,position black spot,,unevenly spread,facing different direction
branches point left right,two horizontal lines rightward vertical line,short lines facing left,,,reflected image,mirror image others,parallel lines left side,lines left,dots spaced differently,backwards,left,lines pointing left,facing different way,shape,f facing left instead right,two short lines opposite side longer line,different orientation,direction,,different orientation,facing different direction
circles equidistant like others,gaps dots evenly spaced,dot away,,,dots equal distances apart,space 3rd 4th dot,unequal distance dots,outlying dot unlike others,,dots spaced,equal distance two points,one dots far away,spaces equal,pattern,one black dot separate rest,space 3rd 4th dot,ratio distance larger,distance,,dots evenly split,1 dot seperated
object lines facing right main line,pointing clockwise counterclockwise,rotation shape,,,reflected image rotated,mirror image others,parallel lines appear right side,double line right line top,,goofy looking,clockwise direction,two short lines pointing right,tilting,direction,line looks longer base f,two short lines opposite side longer line,line left side,position f,,,orientation
mirror image unlike others,gaps dots increasing size,2 dots separated 1,,,groups two dots rather 3 1,spread differently,split two dots side,almost symmetric,,dots far apart,decreasing increasing distance,dots 22 instead 13,dot spacing different,pattern,space two dots two dots side instead one dot separated,large space 2nd 3rd dot instead 1st 2nd,distance middle two larger,distance,,,dot spacing 22
